"""And you... there was no excuse for your actions. You defiled them! You have tainted the very sands with the blood of your own! Yet the war rages on. You have achieved nothing. You must pay."" ",「そしてお前……お前の行動には弁明の余地もない。お前は彼らを冒涜したのだ！お前は砂漠そのものを同胞の血で汚したのだ！だが戦は続いている。お前の行動には何の意味もなかった。お前は償わねばならない。」
"Varashta condemned Kelari to the ritual of the barya, sentenced to serve as a Djinn.",ヴァラシュタはケラリにジンとして仕える、バリャの儀の刑を言い渡した。
"""I have seen countless battles. I know war! The taste of defeat... The taste of victory! But in this war... everything is at stake. So yes, those you speak of will know my blade. I will do whatever I must!"" ",「私は無数の戦いを見てきた。私は戦を知っている！敗北の味も……勝利の味も！だかこの戦には……全てがかかっているのだ。だからお前の言っていた者たちは我が刃を知ることになるだろう。私はそうしなければならないのだ！
"Ruzhan confided in his Tale-Woman, Navira.",ルザンは語り女のナヴィラに打ち明けた。
"""I stand before you, as your humble servant. Though I was betrayed, I would do it all again, if it would have saved us. But I accept your sentence. I will atone. I pledge myself to you... forevermore."" ",「私は卑しき下僕として、あなたの前に立っている。私は裏切られたが、もしそれで我らが救われるというのなら、同じことをもう一度繰り返すだろう。だがあなたの刑を受け入れよう。私は罪を償おう。あなたにこの身を捧げよう……永遠に。」
Ruzhan accepted his fate at the barya ritual site.,ルザンはバリャの儀式場で自身の運命を受け入れた。
"""In my dreams I see a great warrior, his skin scorched black, his fists aflame.""",「夢の中で見る偉大な戦士は、肌が黒く焦げていて、拳は燃え上がっている。」
"""Knowing where and when to plunge your knife is more important than the sharpness of your blade. I will not forget my error... and I will be a living example of your wisdom, dear Sekhema."" ",「いつ、どこに刃を突き立てるかを知ることは刃の鋭さよりも重要だ。私は私の過ちを忘れない……そしてあなたの知恵の生きた実例となろう、敬愛するセケマよ。」
Kelari accepted Varashta's sentence and committed himself to her.,ケラリはヴァラシュタの刑を受け入れ、彼女に身を捧げた。
"""Listen not to his simpering words, he means to languish before you to weaken your resolve! He is duplicitous. An assassin, thriving on deception and lies. His lust for power is what drove his choice!"" ",「こいつのへつらう言葉に耳を貸すな、こいつはお前の決意を揺るがすために弱ったふりをしているのだ！こいつは二枚舌だ。嘘と欺きを生きがいにする暗殺者だ。こいつの選択の背後にあるのは力への渇望だ！
Outrage trembled in Ruzhan's voice at the sentencing.,刑を聞いたルザンの声は怒りで震えていた。
"""My heart was fractured. I believed Kelari's words. I knew not his true nature... his ambition. I convinced Ruzhan there were cowards among his ranks. I failed you. And I accept my fate."" ",「私の心にはひびが入っていた。私はケラリの言葉を信じてしまった。奴の本性を……野望を知らなかった。私はルザンに戦士たちの中に臆病者がいると唆したのだ。あなたを失望させてしまった。我が運命を受け入れる。」
Navira confessed her failure to Varashta.,ナヴィラは自身の失敗をヴァラシュタに告白した。
"""O' Eternal""",「永遠の帝国よ」
"""Supplying the Map Device with more power has... unexpected effects.",「マップデバイスにさらにパワーを供給することは......予期せぬ効果が生じる。
"Somehow, though, I doubt you'll be deterred.""",だが、どういうわけか、お前が思いとどまるとは思えない。」
"""The Kiss Goodnight""",「おやすみのキス」
"""The Nameless Play""",「名前の無い戯曲」
"""The mastodons of yore were each born with two weapons greater than any sword. So, too, were you."" - Maraketh Proverb",「古のマストドンはそれぞれがどんな剣よりも強い武器を二本持って生まれた。其方らも同じだ。」 - マラケスの諺
