Blue Pearl Amulet,青真珠のアミュレット
Marble Amulet,大理石のアミュレット
Jet Amulet,黒玉のアミュレット
Paua Amulet,パウア貝のアミュレット
Citrine Amulet,黄水晶のアミュレット
Ruby Amulet,ルビーのアミュレット
Coral Amulet,珊瑚のアミュレット
Amber Amulet,琥珀のアミュレット
Jade Amulet,翡翠のアミュレット
Lapis Amulet,瑠璃のアミュレット
Gold Amulet,金のアミュレット
Onyx Amulet,オニキスのアミュレット
Turquoise Amulet,ターコイズのアミュレット
Agate Amulet,瑪瑙のアミュレット
Black Maw Talisman,黒い口のタリスマン
Mandible Talisman,下顎のタリスマン
Chrysalis Talisman,蛹のタリスマン
Writhing Talisman,悶えるタリスマン
Bonespire Talisman,尖った骨のタリスマン
Ashscale Talisman,灰鱗のタリスマン
Lone Antler Talisman,一本の枝角のタリスマン
Deep One Talisman,深き者のタリスマン
Breakrib Talisman,折れし肋骨のタリスマン
Deadhand Talisman,死手のタリスマン
Undying Flesh Talisman,不死肉のタリスマン
Rot Head Talisman,腐頭のタリスマン
Hexclaw Talisman,呪いの爪のタリスマン
Primal Skull Talisman,原始の頭蓋骨のタリスマン
Wereclaw Talisman,人狼爪のタリスマン
Splitnewt Talisman,バラバラのトカゲのタリスマン
Clutching Talisman,握る手のタリスマン
Avian Twins Talisman,双鳥のタリスマン
Fangjaw Talisman,牙顎のタリスマン
Horned Talisman,角のタリスマン
Spinefuse Talisman,融合した背骨のタリスマン
Three Rat Talisman,三匹のネズミのタリスマン
Monkey Twins Talisman,猿の手のタリスマン
Longtooth Talisman,長い歯のタリスマン
Rotfeather Talisman,腐羽のタリスマン
Monkey Paw Talisman,猿の手のタリスマン
Three Hands Talisman,三つ手のタリスマン
Greatwolf Talisman,大狼のタリスマン
Rustic Sash,素朴な飾り帯
Chain Belt,チェーンベルト
Leather Belt,革のベルト
Heavy Belt,ヘビーベルト
Cloth Belt,布のベルト
Studded Belt,スタッド付きベルト
Stygian Vise,地獄の万力
Vanguard Belt,前衛のベルト
Crystal Belt,クリスタルベルト
Golden Obi,金の帯
Breach Ring,ブリーチの指輪
Iron Ring,鉄の指輪
Amethyst Ring,アメジストの指輪
Diamond Ring,ダイヤモンドの指輪
Two-Stone Ring,二つ石の指輪
Unset Ring,石無しの指輪
Coral Ring,珊瑚の指輪
Paua Ring,パウア貝の指輪
Gold Ring,金の指輪
Topaz Ring,トパーズの指輪
Sapphire Ring,サファイアの指輪
Ruby Ring,ルビーの指輪
Prismatic Ring,プリズムの指輪
Moonstone Ring,ムーンストーンの指輪
Steel Ring,鋼の指輪
Opal Ring,オパールの指輪
Vermillion Ring,朱色の指輪
Cerulean Ring,紺碧の指輪
Golden Hoop,黄金の指輪
Astrolabe Amulet,アストロラーベアミュレット
Simplex Amulet,シンプレックスアミュレット
Cogwork Ring,歯車の指輪
Geodesic Ring,測地線の指輪
Jet Ring,黒玉の指輪
Micro-Distillery Belt,小さな蒸留所のベルト
Mechalarm Belt,機械装置のベルト
Thief's Trinket,盗賊のトリンケット
Seaglass Amulet,シーグラスのアミュレット
Iolite Ring,董青石の指輪
Unset Amulet,アンセットアミュレット
Bone Ring,骨の指輪
Dusk Ring,黄昏の指輪
Penumbra Ring,半影の指輪
Gloam Ring,薄明の指輪
Tenebrous Ring,仄暗い指輪
Shadowed Ring,影の指輪
Ring,指輪
Atziri's Foible,アツィリの愚行
Sidhebreath,シードブレス
Sidhebite,シードバイト
