source,translation
of the Brute,蛮人の
of the Wrestler,レスラーの
of the Bear,熊の
of the Lion,ライオンの
of the Gorilla,ゴリラの
of the Goliath,巨躯の
of the Leviathan,リヴァイアサンの
of the Titan,タイタンの
of the Gods,神々の
of the Mongoose,マングースの
of the Lynx,リンクスの
of the Fox,狐の
of the Falcon,隼の
of the Panther,パンサーの
of the Leopard,豹の
of the Jaguar,ジャガーの
of the Phantom,幻像の
of the Wind,風の
of the Pupil,生徒の
of the Student,学徒の
of the Prodigy,神童の
of the Augur,占師の
of the Philosopher,哲学者の
of the Sage,賢者の
of the Savant,碩学の
of the Virtuoso,巨匠の
of the Genius,天才の
of the Clouds,天雲の
of the Sky,空の
of the Meteor,隕石の
of the Comet,彗星の
of the Heavens,天の
of the Galaxy,銀河の
of the Universe,宇宙の
of the Multiverse,多元宇宙の
of the Infinite,無限の
of the Whelpling,仔竜の
of the Salamander,サラマンダーの
of the Drake,ドレイクの
of the Kiln,窯の
of the Furnace,炉の
of the Volcano,火山の
of Magma,マグマの
of Tzteosh,ツティオシュの
of the Seal,アシカの
of the Penguin,ペンギンの
of the Narwhal,イッカクの
of the Yeti,イエティの
of the Walrus,セイウチの
of the Polar Bear,ホッキョクグマの
of the Ice,氷の
of Haast,ハーストの
of the Cloud,雲の
of the Squall,スコールの
of the Storm,嵐の
of the Thunderhead,雷雲の
of the Tempest,雷雨の
of the Maelstrom,大渦の
of the Lightning,雷の
of Ephij,エフィジの
of the Crystal,クリスタルの
of the Prism,プリズムの
of the Kaleidoscope,万華鏡の
of Variegation,斑入りの
of the Rainbow,虹の
of the Span,波長の
of Adjustment,調整の
of Acclimatisation,順応の
of Adaptation,適応の
of Evolution,進化の
of Progression,進歩の
of Metamorphosis,変身の
of the Lost,迷い子の
of Banishment,流刑の
of Eviction,排出の
of Expulsion,排除の
of Exile,追放の
of Bameth,バメスの
Hale,強健な
Healthy,健康な
Sanguine,血色良い
Stalwart,屈強な
Stout,頑強な
Robust,頑健な
Rotund,丸々とした
Virile,雄健な
Athlete's,競技者の
Fecund,豊かな
Vigorous,活発な
Rapturous,欣快とした
Prime,最高の
Hopeful,前向きな
Optimistic,楽観的な
Confident,自信に満ちた
Beryl,ベリルの
Cobalt,コバルトの
Azure,淡青な
Teal,鴨の羽色の
Cerulean,空色の
Aqua,アクア
Opalescent,オパール色の
Gentian,リンドウの
Chalybeous,青鋼の
Mazarine,紺色をした
Blue,青い
Zaffre,藍色をした
Ultramarine,群青色をした
Sapphire,サファイアの
Cognizant,認識する
Perceptive,近くする
Mnemonic,記憶する
Lacquered,塗装された
Studded,スタッド付き
Ribbed,畝付き
Fortified,強靭な
Plated,板金付き
Carapaced,甲皮付き
Encased,保護する
Enveloped,防護された
Abating,和らげる
Unmoving,動かざる
Agile,機敏な
Dancer's,踊り子の
Acrobat's,軽業師の
Fleet,素早い
Blurred,霞んだ
Phased,異相の
Vaporous,霧状の
Elusory,捕らえがたい
Adroit,巧妙な
Shining,輝く
Glimmering,瞬く
Glittering,煌く
Glowing,光る
Radiating,放射する
Pulsing,脈動する
Blazing,焼き付く
Dazzling,眩い
Scintillating,耀う
Incandescent,光り輝く
Reinforced,補強された
Layered,多層の
Lobstered,甲殻付き
Buttressed,強固な
Thickened,分厚い
Girded,纏われた
Impregnable,堅固な
Shade's,陰の
Ghost's,幽霊の
Spectre's,幽鬼の
Wraith's,悪霊の
Phantasm's,幻想の
Nightmare's,悪夢の
Mirage's,蜃気楼の
Protective,守る
Strong-Willed,強き意志の
Resolute,確固たる
Fearless,恐れ知らずな
Dauntless,恐れ知らずな
Indomitable,不屈の
Unassailable,難攻不落の
Impervious,無効化する
Lissome,俊敏な
Fugitive,逃亡する
Resplendent,きらびやかな
Supple,柔らかい
Pliant,柔靭な
Flexible,柔軟な
Durable,丈夫な
Sturdy,頑丈な
Resilient,弾性の
Adaptable,適応する
Versatile,臨機応変の
Blessed,祝福された
Anointed,聖油の
Sanctified,聖域化された
Hallowed,聖なる
Beatified,列福された
Consecrated,聖別された
Saintly,聖人のような
Godly,神々しい
Will-o-wisp's,ウィローウィスプの
Nymph's,ニンフの
Sylph's,シルフの
Cherub's,智天使の
Spirit's,霊の
Eidolon's,幻霊の
Apparition's,幻影の
Banshee's,バンシーの
Impenetrable,堅牢な
Illusion's,幻術の
Unfaltering,断固たる
Scrapper's,喧嘩好きの
Brawler's,喧嘩屋の
Fencer's,フェンサーの
Gladiator's,剣闘士の
Duelist's,デュエリストの
Hero's,英雄の
Legend's,伝説の
Victor's,勝者の
Infixed,教育されし
Ingrained,教導されし
Instilled,教示されし
Infused,教諭されし
Inculcated,教授されし
Interpolated,教戒されし
Inspired,教伝されし
Interpermeated,教浸されし
Shadowy,影の
Ethereal,幽玄な
Unworldly,幽世の
Ephemeral,刹那的な
Evanescent,儚い
Unreal,現実離れした
Illusory,幻の
Incorporeal,霊的な
Beetle's,甲虫の
Crab's,カニの
Armadillo's,アルマジロの
Rhino's,サイの
Elephant's,象の
Mammoth's,マンモスの
Mosquito's,蚊の
Moth's,蛾の
Butterfly's,蝶の
Wasp's,スズメバチの
Dragonfly's,蜻蛉の
Hummingbird's,ハチドリの
Pixie's,ピクシーの
Gremlin's,グレムリンの
Boggart's,ボガートの
Naga's,ナーガの
Djinn's,ジンの
Seraphim's,熾天使の
Captain's,隊長の
Commander's,司令官の
Magnate's,有力者の
Marshal's,元帥の
General's,大将の
Warlord's,武将の
Defender's,防衛者の
Protector's,保護者の
Keeper's,守り人の
Guardian's,守護者の
Warden's,番人の
Sentinel's,衛兵の
Intuitive,直感的な
Psychic,超能力の
Telepath's,テレパスの
Illusionist's,幻術師の
Mentalist's,メンタリストの
Trickster's,トリックスターの
Oyster's,牡蠣の
Lobster's,ザリガニの
Urchin's,ウニの
Nautilus',オウムガイの
Octopus',タコの
Crocodile's,ワニの
Flea's,ノミの
Fawn's,子鹿の
Mouflon's,ムフロンの
Ram's,ヤギの
Ibex's,アイベックスの
Stag's,牡鹿の
Monk's,修道僧の
Prior's,少修道院長の
Abbot's,修道院長の
Bishop's,司教の
Exarch's,高位聖職者の
Pope's,主教の
Bully's,乱暴者の
Thug's,暴漢の
Brute's,蛮人の
Assailant's,加害者の
Aggressor's,攻撃者の
Predator's,捕食者の
Augur's,占い師の
Auspex's,占術師の
Druid's,ドルイドの
Haruspex's,腸卜師の
Visionary's,幻想家の
Prophet's,預言者の
Poet's,詩人の
Musician's,音楽家の
Troubadour's,トルバドールの
Bard's,吟遊詩人の
Minstrel's,伶人の
Maestro's,巨匠の
Imposing,堂々たる
Venerable,尊敬に足る
Regal,王者の
Colossal,壮大な
Chieftain's,族長の
Ancestral,祖先の
Nomad's,遊牧民の
Drifter's,放浪者の
Traveller's,旅行者の
Explorer's,探検家の
Wayfarer's,旅人の
Wanderer's,彷徨者の
Imbued,魔力を帯びた
Serene,穏やかな
Sacred,聖なる
Celestial,天の
Heavenly,天界の
Angel's,天使の
Rhoa's,ロアの
Rhex's,レックスの
Chimeral's,キメラの
Bull's,雄牛の
Minotaur's,ミノタウロスの
Cerberus',ケルベロスの
Coelacanth's,シーラカンスの
Swordfish's,カジキの
Shark's,サメの
Dolphin's,イルカの
Orca's,オルカの
Whale's,クジラの
Vulture's,ハゲタカの
Kingfisher's,カワセミの
Owl's,フクロウの
Hawk's,タカの
Eagle's,ワシの
Falcon's,ハヤブサの
Abalone's,アワビの
Snail's,カタツムリの
Tortoise's,カメの
Pangolin's,センザンコウの
Shelled,甲羅を持つ
Hardened,硬化した
Impala's,インパラの
Buck's,牡鹿の
Moose's,ヘラジカの
Deer's,シカの
Caribou's,カリブーの
Antelope's,レイヨウの
Deacon's,助祭の
Cardinal's,枢機卿の
Priest's,祭司の
High Priest's,大祭司の
Archon's,アルコンの
Divine,神聖な
Swordsman's,剣士の
Fighter's,闘士の
Veteran's,老兵の
Warrior's,戦士の
Knight's,騎士の
Centurion's,百人隊長の
Faithful,忠実な
Noble's,貴族の
Inquisitor's,審問官の
Crusader's,聖戦士の
Paladin's,パラディンの
Grand,偉大な
Pursuer's,追手の
Tracker's,追跡者の
Chaser's,追撃者の
Phantom's,亡霊の
Rogue's,ローグの
Stalker's,尾行者の
Ascendant,超越した
of the Worthy,相応しき者の
of the Apt,秀才の
of the Talented,奇才の
of the Skilled,熟練者の
of the Proficient,熟達者の
of Thick Skin,厚い肌の
of Reinforced Skin,補強された肌の
of Stone Skin,石の肌の
of Iron Skin,鉄の肌の
of Steel Skin,鋼鉄の肌の
of Granite Skin,花崗岩の肌の
of Platinum Skin,プラチナの肌の
of Adamantite Skin,アダマンタイトの肌の
of Corundum Skin,コランダムの肌の
of Obsidian Skin,黒曜石の肌の
of Titanium Skin,チタンの肌の
Runner's,走者の
Sprinter's,競走者の
Stallion's,牡馬の
Gazelle's,ガゼルの
Cheetah's,チーターの
Hellion's,ヘリオンの
Thorny,有棘の
Spiny,棘のある
Barbed,有刺の
Pointed,尖った
Spiked,有棘の
Edged,刃の
Jagged,鋸状の
Glinting,閃く
Burnished,艶出しされた
Polished,磨かれた
Honed,研ぎ澄まされた
Gleaming,光沢帯びた
Annealed,鍛えられた
Razor-sharp,鋭利な
Tempered,鍛錬された
Flaring,猛烈な
Heated,熱した
Smouldering,燻る
Smoking,発煙する
Burning,燃える
Flaming,燃え立つ
Scorching,焼き焦がす
Incinerating,焼却する
Blasting,爆破する
Cremating,火葬する
Frosted,凍てついた
Chilled,冷えた
Icy,凍った
Frigid,凍える
Freezing,凍りつく
Frozen,凍結した
Glaciated,氷結した
Polar,極地の
Entombing,氷葬する
Humming,電音の
