source,translation
Attribute,能力値
Crystalline Resistance,結晶化した耐性
Gem Enthusiast,ジェム収集家
Strength,筋力
Intelligence,知性
Dexterity,器用さ
All Attributes,全ての能力値
Crystallised Immunities,結晶化した免疫
Damage,ダメージ
Defences,防御力
Cost Efficiency,コスト効率
Beef,剛力
Brute Strength,怪力
DNT-UNUSED Strength Notable,筋力ノータブル
Spritely,活発
Proficiency,技能
DNT-UNUSED Dexterity Notable,器用さノータブル
Ingenuity,創意工夫
DNT-UNUSED Intelligence Notable,知性ノータブル
Polymathy,博識
Reduced Attribute Requirements,要求能力値減少
Jack of all Trades,何でも屋
Quarterstaff Stun and Knockback,クォータースタッフスタンおよびノックバック
Quarterstaff Damage,クォータースタッフダメージ
One with the River,川とともにある者
Resonating Impact,響き渡る衝撃
Quarterstaff Freeze and Daze Buildup,クォータースタッフ凍結および眩暈蓄積
Quarterstaff Speed,クォータースタッフスピード
Whirling Assault,旋風攻撃
Quarterstaff Critical Chance,クォータースタッフクリティカル率
One with the Storm,嵐とともにある者
Quarterstaff Critical Damage,クォータースタッフクリティカルダメージ
Martial Artistry,武芸の技術
Dagger Speed,ダガースピード
First Strike,先制攻撃
Dagger Damage,短剣ダメージ
DNT-UNUSED Dagger Speed Notable,ダガースピードノータブル
Dagger Critical Chance,ダガークリティカル率
Silent Shiv,隠密の刃
Dagger Critical Damage,ダガークリティカルダメージ
Coated Knife,塗布されたナイフ
Backstabbing,バックスタブ
Trap Damage,トラップダメージ
Trap Throw Speed,トラップ投擲スピード
Deadly Mechanism,死をもたらす機構
DNT-UNUSED Trap Throw Speed Notable,トラップ投擲スピードノータブル
Trap Critical Chance,トラップクリティカル率
Clever Construction,緻密な設計
Trap Arming Speed,トラップ設置スピード
Devastating Devices,壊滅的な装置
Destructive Apparatus,破壊の装置
Bow Speed,弓スピード
Bow Accuracy Rating,弓命中力
Bow Damage,弓ダメージ
Bow Critical Damage,弓クリティカルダメージ
Master Fletcher,マスターフレッチャー
Feathered Fletching,羽付き矢羽
