source,translation
"Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%",グローリーを消費するとプレイヤーに消費したグローリーごとにアタックダメージ増加{0}%を6秒間、最大100%増加を付与する
{0}% chance when you Reload a Crossbow to be immediate,クロスボウをリロードした時に{0}%の確率で即座に終了する
Enemies have Maximum Concentration equal to {0}% of their Maximum Life,敵はその最大ライフの{0}%と同量のコンセントレーションを持つ
{0}% of your Life Regeneration applies to your Totems aswell,プレイヤーのライフ自動回復の{0}%はプレイヤーのトーテムにも適用される
1% faster start of Energy Shield Recharge per {0} maximum Runic Ward,最大ルーンワード{0}ごとにエナジーシールドリチャージの開始が1%速く始まる
+1 to maximum Blade Flurry stages,ブレードフラリィの最大ステージ +1
+1 to Spirit for every {0} Item Energy Shield on Equipped Body Armour,装備中の鎧のアイテムエナジーシールド{0}ごとにスピリット +1
+1 to Spirit for every {0} Evasion Rating on Equipped Body Armour,装備中の鎧の回避力{0}ごとにスピリット +1
+{0} to Deflection Rating per 10 maximum Runic Ward,最大ルーンワード10ごとに受け流し力 +{0}
-{0} to Deflection Rating per 10 maximum Runic Ward,最大ルーンワード10ごとに受け流し力 -{0}
{0} to Deflection Rating per 50 missing Energy Shield,喪失エナジーシールド50ごとに受け流し力 {0}
{0}% increased Rogue's Markers dropped by monsters,モンスターがドロップするローグマーカーが{0}%増加する
{0}% reduced Rogue's Markers dropped by monsters,モンスターがドロップするローグマーカーが{0}%減少する
"This Jewel's Socket has {0}% increased effect per Allocated Passive Skill between
it and your Class' starting location","このジュエルソケットとクラスの開始地点との間の
割り当て済みパッシブスキルの数ごとに効果が{0}%増加する"
"Bathed in the blood of {1} sacrificed in the name of Xibaqua
Passives in radius are Conquered by the Vaal","シバクアの名において捧げられた{1}体の生贄の血に浴した
範囲内のパッシブはヴァールに征服される"
"Bathed in the blood of {1} sacrificed in the name of Zerphi
Passives in radius are Conquered by the Vaal","ゼルフィの名において捧げられた{1}体の生贄の血に浴した
範囲内のパッシブはヴァールに征服される"
"Bathed in the blood of {1} sacrificed in the name of Ahuana
Passives in radius are Conquered by the Vaal","アフアナの名において捧げられた{1}体の生贄の血に浴した
範囲内のパッシブはヴァールに征服される"
"Bathed in the blood of {1} sacrificed in the name of Doryani
Passives in radius are Conquered by the Vaal","ドリヤニの名において捧げられた{1}体の生贄の血に浴した
範囲内のパッシブはヴァールに征服される"
"Commanded leadership over {1} warriors under Kaom
Passives in radius are Conquered by the Karui","カオム配下の{1}体の戦士を指揮した
範囲内のパッシブはカルイに征服される"
"Commanded leadership over {1} warriors under Rakiata
Passives in radius are Conquered by the Karui","ラキアタ配下の{1}体の戦士を指揮した
範囲内のパッシブはカルイに征服される"
"Commanded leadership over {1} warriors under Kiloava
Passives in radius are Conquered by the Karui","キロアヴァ配下の{1}体の戦士を指揮した
範囲内のパッシブはカルイに征服される"
"Commanded leadership over {1} warriors under Akoya
Passives in radius are Conquered by the Karui","アコヤ配下の{1}体の戦士を指揮した
範囲内のパッシブはカルイに征服される"
"Denoted service of {1} dekhara in the akhara of Deshret
Passives in radius are Conquered by the Maraketh","デシュレットとのアカーラにより{1}人のデカーラの奉仕を示した
範囲内のパッシブはマラケスに征服される"
