source,translation
Kaom's Primacy,カオムの優越
Redbeak,レッドビーク
Stone of Lazhwar,ラズワールの石
Blackheart,ブラックハート
Kaom's Sign,カオムの印
Ungil's Coil,アンギルのコイル
Andvarius,アンドヴァリアス
Lioneye's Glare,ライオンアイの睥睨
Demigod's Presence,半神の存在
Voll's Protector,ヴォールの保護具
Divinarius,ディヴィナリアス
Silverbranch,シルバーブランチ
Ephemeral Edge,儚い刃
Malachai's Simula,マラカイのシミュラ
Ezomyte Peak,エゾマイトピーク
Death's Harp,死の竪琴
The Searing Touch,焼けつく手触り
Hrimnor's Hymn,フリムノーの聖歌
Geofri's Baptism,ジェフリの洗礼
Rigvald's Charge,リグワルドの突撃
Shiversting,シヴァースティング
Doedre's Damning,ドードゥリの糾弾
Replica Doedre's Damning,ドードゥリの非難 (レプリカ )
Dream Fragments,夢の断片
Blackgleam,ブラックグリーム
Broadstroke,ブロードストローク
Sidhebreath,シブレス
Karui Ward,カルイの守り
Replica Karui Ward,カルイの守り (レプリカ )
Eye of Chayula,チャユラの目
Hyrri's Ire,ハイリの怒り
The Auspex,アウスペックス
Kaom's Heart,カオムの心臓
Replica Kaom's Heart,カオムの心臓 (レプリカ )
Fairgraves' Tricorne,フェアグレーヴズの三角帽子
Heatshiver,ヒートシヴァー
Crown of Thorns,茨の冠
Asenath's Mark,アセナスの標的
Chitus' Apex,チタスの頂
Hrimnor's Resolve,フリムノーの決意
The Peregrine,放浪者
Honourhome,オナーホーム
Geofri's Crest,ジェフリの紋章
Araku Tiki,アラク・ティキ
Wondertrap,ワンダートラップ
Mightflay,マイトフレイ
Lioneye's Paws,ライオンアイの足
Replica Lioneye's Paws,ライオンアイの足 (レプリカ )
Wake of Destruction,破滅の軌跡
Wanderlust,ワンダーラスト
Shavronne's Pace,シャヴロンの歩調
Sundance,サンダンス
Windscream,ウィンドスクリーム
Hrimsorrow,フリムサロー
Maligaro's Virtuosity,マリガロの妙技
Slitherpinch,スリザーピンチ
Aurseize,オアシーズ
Sadima's Touch,サディマの接触
Doedre's Tenure,ドードゥリの才能
Ondar's Clasp,オンダーの握り
Lochtonial Caress,ロクトニアルの愛撫
The Ignomon,イグノモン
Astramentis,アストラメンティス
Wurm's Molt,ワームの脱皮
The Magnate,マグネート
Perandus Blazon,ペランダスの誇示
Meginord's Girdle,メギノルドのベルト
Daresso's Courage,ダレッソの勇気
Rathpith Globe,ラスピスの球体
Kaltenhalt,カルテンハルト
Crest of Perandus,ペランダスの紋章
Lioneye's Remorse,ライオンアイの後悔
Reaper's Pursuit,死神の追跡
Terminus Est,ターミナス・エスト
Tipua Kaikohuru,ティプア・カイコーフル
Ambu's Charge,アンブーの突撃
Replica Ambu's Charge,アンブーの突撃 (レプリカ )
Saffell's Frame,サフェルのフレーム
Rime Gaze,ライムの眼差し
Moonsorrow,ムーンソロウ
Vaults of Atziri,アッツィリの宝物庫
Prism Guardian,プリズム・ガーディアン
Springleaf,スプリングリーフ
Marohi Erqi,マロヒ・エルキ
Carnage Heart,カーネイジ・ハート
Deshret's Vise,デシュレットの万力
Meginord's Vise,メギノルドの万力
Facebreaker,フェイスブレーカー
Sin Trek,シン・トレック
Devoto's Devotion,デヴォートの情熱
Ungil's Gauche,アンギルのゴーシュ
Replica Ungil's Gauche,アンギルのゴーシュ (レプリカ )
Goldwyrm,ゴールドワーム
Bones of Ullr,ウルルの骨
Replica Bones of Ullr,ウルルの骨 (レプリカ )
Brightbeak,ブライトビーク
Shavronne's Wrappings,シャヴロンの覆い
Quill Rain,針の雨
Replica Quill Rain,針の雨 (レプリカ )
Darkscorn,ダークスコーン
Limbsplit,リムスプリット
Voidhome,ヴォイドホーム
Midnight Bargain,真夜中の取引
Replica Midnight Bargain,真夜中の取引 (レプリカ )
Chin Sol,チン・ソル
Ondar's Flight,ヴィクタリオの疾走
Bramblejack,ブランブルジャック
Dewath's Hide,デワスの皮
Ashrend,アッシュレンド
Cloak of Flame,炎のクローク
Infractem,インフラクテム
Replica Infractem,インフラクテム (レプリカ )
Essentia Sanguis,エッセンシア・サングイス
Titucus Span,テトゥーカスの全長
Titucius' Span,テトゥーシャスの全長
Foxshade,フォックスシェード
Taryn's Shiver,テアレンの震え
Goldrim,ゴールドリム
Aegis Aurora,イージス・オーロラ
The Supreme Truth,至高の真実
The Covenant,コヴナント
Infernal Mantle,地獄の外套
Mortem Morsu,モルテム・モルス
Queen's Decree,女王の法令
Atziri's Mirror,アッツィリの鏡
The Blood Reaper,血の死神
Storm Cloud,嵐の雲
Demigod's Triumph,半神の勝利
Matua Tupuna,マトゥア・トゥプーナ
Heartbreaker,ハートブレーカー
Replica Heartbreaker,ハートブレーカー (レプリカ )
Maelström of Chaos,混沌の渦
Carcass Jack,カーカス・ジャック
Le Heup of All,皆を繋ぐもの
Chernobog's Pillar,チェルノボグの柱
Nightfall,ナイトフォール
The Coward's Trial,臆病者の試練
Nycta's Lantern,ニクタの灯篭
Acton's Nightmare,アクトンの悪夢
Starkonja's Head,スターコンジャの頭
Bloodseeker,ブラッドシーカー
Chober Chaber,チョーバー・チェバー
Alpha's Howl,アルファの遠吠え
Replica Alpha's Howl,アルファの遠吠え (レプリカ )
Rise of the Phoenix,フェニックスの復活
Thousand Ribbons,千本のリボン
Bronn's Lithe,ブロンの柔軟さ
Rainbowstride,レインボーストライド
Tabula Rasa,タビュラ・ラサ
Darkray Vectors,ダークレイ・ベクトル
Pillar of the Caged God,囚われた神の柱
Icetomb,アイストゥーム
Soul Mantle,魂の外套
Wurmfist,ワームフィスト
Asenath's Gentle Touch,アセナスの優しい接触
Kalisa's Grace,カリサの優美さ
Replica Kalisa's Grace,カリサの優美さ (レプリカ )
Arimagius' Honor,アリメジウスの名誉
Hellbringer,ヘルブリンガー
Thunderfist,サンダーフィスト
Deadman's Hand,デッドマンズ・ハンド
Rat's Nest,鼠の巣
Vizaru's Folly,ヴィザルの愚かさ
Ylfe Ban,イルフ・バン
Abyssus,アビサス
Replica Abyssus,アビサス (レプリカ )
Aurumvorax,アルムヴォラックス
Thief's Torment,泥棒の苦悩
Poorjoy's Asylum,プアジョイの収容所
Replica Poorjoy's Asylum,プアジョイの収容所 (レプリカ )
Deidbell,ディードベル
Last Resort,最後の手段
Replica Last Resort,最後の手段 (レプリカ )
Leviathan Ivory,レヴィアタンの象牙
Al Dhih,アル・ディ
Ungils's Coil,アンギルのコイル
Atziri's Foible,アッツィリの欠点
Replica Atziri's Foible,アッツィリの欠点 (レプリカ )
Lori's Lantern,ローリのランタン
The Bringer of Rain,雨をもたらすもの
NameGoesHere,名前入力場所
Zahndethus' Cassock,ザンデタスのキャソック
Lightbane Raiment,ライトベーンの衣服
Void Battery,ヴォイド・バッテリー
Rebuke of the Vaal,ヴァールの譴責
Rory's Revengance,ロリーの報復
Mark2's Mastery,マーク2のマスタリー
Robbie's Rotten Mace,ロビーの腐ったメイス
Carl's Crusher,カールのクラッシャー
DrTestapus' Charm,ドクター・テスタプスのお守り
Convent of the Twins' Flame,双子の炎の修道院
Mao Kun,マオ・クン
The Rathorn,ラソーン
Wareclast Pantheon,レイクラスト・パンテオン
Sibyl's Lament,シビュラの悲しみ
Oba's Cursed Trove,オバの呪われた埋蔵品
Soul Taker,ソウル・テーカー
Replica Soul Taker,ソウル・テーカー (レプリカ )
Olmec's Sanctum,オルメカの聖所
Untainted Paradise,汚れなき楽園
Daresso's Salute,ダレッソの敬礼
Voll's Devotion,ヴォールの献身
Victario's Acuity,ヴィクタリオの鋭敏さ
Gifts from Above,天の恩恵
Death Rush,死の激発
Shavronne's Revelation,シャヴロンの啓示
Auxium,アーグジアム
BlackGuardz,ブラックガーズ
The Blood Dance,血の踊り
Kongor's Undying Rage,コンゴーの尽きぬ怒り
Replica Kongor's Undying Rage,コンゴーの尽きぬ怒り (レプリカ )
The Goddess Scorned,軽蔑された女神
The Anvil,鉄床
Mon'tregul's Grasp,モントレグールの掴み
Perandus Signet,ペランダスの認印
Pyre,パイア
Divination Distillate,占いの蒸留酒
