Life Regen,ライフ再生
{0}% less Effect of your Curses,呪いの効果が{0}%低下する
Minion Instability,ミニオンインスタビリティ
Culling Strike,カリングストライク
Onslaught,猛攻
Point Blank,ポイントブランク
Blood Magic,ブラッドマジック
Iron Grip,アイアングリップ
Iron Will,アイアンウィル
Rampage,ランページ
{0}% Chance to Block,ブロック率 {0}%
Avoid interruption from Stuns while Casting,詠唱中のスタンによる中断を回避する
Bathed in the blood of {0} sacrificed in the name of Xibaqua,シバクアの名において捧げられた{0}体の生贄の血に浴した
Base Spell Critical Strike Chance of Spells is equal to that of Main Hand Weapon,スペルの基礎クリティカル率はメインハンド武器のクリティカル率と同量となる
Passives in radius are Conquered by the Vaal,範囲内のパッシブスキルはヴァールによって征服される
Bathed in the blood of {0} sacrificed in the name of Zerphi,ゼルフィの名において捧げられた{0}体の生贄の血に浴した
Bathed in the blood of {0} sacrificed in the name of Doryani,ドリヤニの名において捧げられた{0}体の生贄の血に浴した
Commanded leadership over {0} warriors under Kaom,カオム配下の{0}体の戦士を指揮した
Passives in radius are Conquered by the Karui,範囲内のパッシブスキルはカラウイによって征服される
Commanded leadership over {0} warriors under Rakiata,ラキアタ配下の{0}体の戦士を指揮した
Commanded leadership over {0} warriors under Kiloava,キロアヴァ配下の{0}体の戦士を指揮した
Denoted service of {0} dekhara in the akhara of Deshret,デシュレットとのアカーラにより{0}人のデカーラの奉仕を示した
Passives in radius are Conquered by the Maraketh,範囲内のパッシブスキルはマラケスによって征服される
Denoted service of {0} dekhara in the akhara of Asenath,アセナスとのアカーラにより{0}人のデカーラの奉仕を示した
Denoted service of {0} dekhara in the akhara of Nasima,ナシマとのアカーラにより{0}人のデカーラの奉仕を示した
Carved to glorify {0} new faithful converted by High Templar Venarius,ハイテンプラーヴェナリウスが改宗させた{0}人の新しい信者の栄光のために彫られた
Passives in radius are Conquered by the Templars,範囲内のパッシブスキルはテンプラーによって征服される
Carved to glorify {0} new faithful converted by High Templar Dominus,ハイテンプラードミナスが改宗させた{0}人の新しい信者の栄光のために彫られた
Carved to glorify {0} new faithful converted by High Templar Avarius,ハイテンプラーアヴァリウスが改宗させた{0}人の新しい信者の栄光のために彫られた
Commissioned {0} coins to commemorate Cadiro,カディロの記念コインを{0}個鋳造した
Passives in radius are Conquered by the Eternal Empire,範囲内のパッシブスキルはエターナルエンパイアによって征服される
Commissioned {0} coins to commemorate Victario,ヴィクタリオの記念コインを{0}個鋳造した
Commissioned {0} coins to commemorate Chitus,チタスの記念コインを{0}個鋳造した
Can have a second Enchantment Modifier,エンチャントモッドをもう一個持つことができる
Can have {0} extra Enchantment Modifiers,追加のエンチャント効果を{0}個持つことができる
Can roll Minion Modifiers,ミニオンモッドをロール可能
Prefixes Cannot Be Changed,プレフィックスは変化しない
Suffixes Cannot Be Changed,サフィックスは変化しない
Cannot deal Critical Strikes with Attacks,アタックでクリティカルストライクを与えることができない
Cannot roll Caster Modifiers,キャスターモッドはロールされない
Cannot roll Attack Modifiers,アタックモッドはロールされない
Can have multiple Crafted Modifiers,複数のクラフト効果を持つことができる
Cannot roll Modifiers with Required Level above {0},レベル{0}より高い要求レベルのモッドはロールされない
Implicit Modifier magnitudes are doubled,暗黙モッドの強さ 二倍
Implicit Modifier magnitudes are tripled,暗黙モッドの強さが三倍になる
{0}% increased Implicit Modifier magnitudes,暗黙モッドの強さが{0}%増加する
{0}% reduced Implicit Modifier magnitudes,暗黙モッドの強さが{0}%減少する
Has no Sockets,ソケットを持たない
Has {0} Abyssal Sockets,アビスソケットを{0}個持つ
Has {0} Sockets,ソケットを{0}個持つ
Sockets cannot be modified,ソケットを変更することができない
All Sockets Linked,全てのソケットがリンクされている
Has one socket of each colour,それぞれの色のソケットを1個持つ
Gems can be Socketed in this Item ignoring Socket Colour,ソケットの色を無視してこのアイテムにジェムをソケットできる
Consumes Socketed Support Gems when they reach Maximum Level,ソケットされたサポートジェムが最大レベルに達した時に消費する
Can Consume {0} Support Gem,サポートジェムを{0}個消費できる
Has not Consumed any Gems,ジェムを消費していない
{0}% chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges,エンデュランスチャージを失った時にソケットされたウォークライスキルをトリガーする確率が{0}%
Trigger a Socketed Warcry Skill when you lose Endurance Charges,エンデュランスチャージを失った時にソケットされたウォークライスキルをトリガーする
{0} to Level of Socketed Gems,ソケットされたジェムのレベル {0}
{0} to Level of Socketed Strength Gems,ソケットされた筋力ジェムのレベル {0}
{0} to Level of Socketed Dexterity Gems,ソケットされた器用さジェムのレベル {0}
{0} to Level of Socketed Intelligence Gems,ソケットされた知性ジェムのレベル {0}
{0} to Level of Socketed Active Skill Gems per {1} Player Levels,プレイヤーレベル{1}ごとにソケットされたアクティブスキルジェムのレベルが{0}上昇する
Gems Socketed in Red Sockets have {0} to Level,赤色ソケットにソケットされたジェムのレベル {0}
Gems Socketed in Green Sockets have {0}% to Quality,緑色ソケットにソケットされたジェムの品質 {0}%
Gems Socketed in Blue Sockets gain {0}% increased Experience,青色ソケットにソケットされたジェムは獲得経験値が{0}%増加する
{0} to Level of Socketed Fire Gems,ソケットされた火ジェムのレベル {0}
{0} to Level of Socketed Cold Gems,ソケットされた冷気ジェムのレベル {0}
{0} to Level of Socketed Lightning Gems,ソケットされた雷ジェムのレベル {0}
{0} to Level of Socketed Chaos Gems,ソケットされた混沌ジェムのレベル {0}
{0} to Level of Socketed Spell Gems,ソケットされたスペルジェムのレベル {0}
{0} to Level of Socketed Duration Gems,ソケットされた持続時間ジェムのレベル {0}
{0} to Level of Socketed AoE Gems,ソケットされた効果範囲ジェムのレベル {0}
{0} to Level of Socketed Projectile Gems,ソケットされた投射物ジェムのレベル {0}
{0} to Level of Socketed Bow Gems,ソケットされた弓ジェムのレベル {0}
{0} to Level of Socketed Melee Gems,ソケットされた近接ジェムのレベル {0}
{0} to Level of Socketed Minion Gems,ソケットされたミニオンジェムのレベル {0}
{0} to Level of Socketed Aura Gems,ソケットされたオーラジェムのレベル {0}
{0} to Level of Socketed Herald Gems,ソケットされたヘラルドジェムのレベル {0}
{0} to Level of Socketed Movement Gems,ソケットされた移動ジェムのレベル {0}
{0} to Level of Socketed Curse Gems,ソケットされた呪いジェムのレベル {0}
{0} to Level of Socketed Trap Gems,ソケットされたトラップジェムのレベル {0}
{0} to Level of Socketed Trap or Mine Gems,ソケットされたトラップまたはマインジェムのレベル {0}
{0} to Level of Socketed Vaal Gems,ソケットされたヴァールジェムのレベル {0}
{0} to Level of Socketed Support Gems,ソケットされたサポートジェムのレベル {0}
{0} to Level of Socketed Active Skill Gems,ソケットされたアクティブスキルジェムのレベルが{0}上昇する
{0} to Level of Socketed Warcry Gems,ソケットされたウォークライジェムのレベル {0}
Socketed Golem Skills have {0}% increased Attack and Cast Speed,ソケットされたゴーレムスキルのアタックスピードおよびキャストスピードが{0}%増加する
{0}% increased Effect of Buffs granted by Socketed Golem Skills,ソケットされたゴーレムスキルにより付与されるバフの効果が{0}%増加する
Socketed Golem Skills have {0}% chance to Taunt on Hit,ソケットされたゴーレムスキルはヒット時に{0}%の確率で敵を挑発する
Socketed Golem Skills have Minions Regenerate {0}% of Life per second,ソケットされたゴーレムスキルのミニオンは毎秒ライフの{0}%を自動回復する
Gain Onslaught for {0} seconds when you Cast Socketed Golem Skill,ソケットされたゴーレムスキルをキャスト時に猛攻を{0}秒間獲得する
Socketed Golem Skills gain {0}% of Maximum Life as Extra Maximum Energy Shield,ソケットされたゴーレムスキルはその最大ライフの{0}%を追加の最大エナジーシールドとして獲得する
{0} to Level of Socketed Golem Gems,ソケットされたゴーレムジェムのレベル {0}
{0}% to Quality of Socketed Gems,ソケットされたジェムの品質 {0}%
{0}% to Quality of Socketed Support Gems,ソケットされたサポートジェムの品質 {0}%
{0} to Level of Socketed Elemental Gems,ソケットされた元素ジェムのレベル {0}
{0}% increased Effect of Socketed Jewels,ソケットされたジュエルの効果が{0}%増加する
{0}% reduced Effect of Socketed Jewels,ソケットされたジュエルの効果が{0}%減少する
Socketed Gems are Supported by Level {0} Increased Area of Effect,ソケットされたジェムはレベル{0}効果範囲増加によりサポートされる
Socketed Gems are Supported by Level {0} Arcane Surge,ソケットされたジェムはレベル{0}アーケインサージによりサポートされる
Socketed Gems are Supported by Level {0} Blessing,ソケットされたジェムはレベル{0}のブレッシングによってサポートされる
Socketed Gems are Supported by Level {0} Bloodlust,ソケットされたジェムはレベル{0}渇血によりサポートされる
Socketed Gems are Supported by Level {0} Bonechill,ソケットされたジェムはレベル{0}ボーンチルによりサポートされる
Socketed Gems are Supported by Level {0} Brutality,ソケットされたジェムはレベル{0}ブルータリティによりサポートされる
Socketed Gems are Supported by Level {0} Cast when Damage Taken,ソケットされたジェムはレベル{0}被ダメージ時キャストによりサポートされる
Socketed Gems are Supported by Level {0} Cast On Melee Kill,ソケットされたジェムはレベル{0}近接キル時キャストによりサポートされる
Socketed Gems are Supported by Level {0} Cast While Channelling,ソケットされたジェムはレベル{0}チャネリング時キャストによりサポートされる
Socketed Gems are Supported by Level {0} Chain,ソケットされたジェムはレベル{0}連鎖によりサポートされる
Socketed Gems are Supported by Level {0} Chance To Bleed,ソケットされたジェムはレベル{0}出血付与によりサポートされる
Socketed Gems are Supported by Level {0} Combustion,ソケットされたジェムはレベル{0}燃焼促進によりサポートされる
Socketed Gems are Supported by Level {0} Charged Mines,ソケットされたジェムはレベル{0}チャージドマインによりサポートされる
Socketed Gems are Supported by Level {0} Close Combat,ソケットされたジェムはレベル{0}近距離戦闘によりサポートされる
Socketed Gems are Supported by Level {0} Culling Strike,ソケットされたジェムはレベル{0}カリングストライクによりサポートされる
Socketed Gems are Supported by Level {0} Curse On Hit,ソケットされたジェムはレベル{0}の呪いヒットによってサポートされる
Socketed Gems are Supported by Level {0} Deadly Ailments,ソケットされたジェムはレベル{0}状態異常特化によりサポートされる
Socketed Gems are Supported by Level {0} Decay,ソケットされたジェムはレベル{0}ディケイによりサポートされる
